FIPS,State,County,UnempRate2021,PctEmpChange2021,percent_coronary_heart_disease
1001,AL,Autauga,2.8,2.5,7.3
1003,AL,Baldwin,3,4,8
1005,AL,Barbour,5.7,-3.4,10.1
1007,AL,Bibb,3.5,2.3,8.3
1009,AL,Blount,2.4,2.3,8.8
1011,AL,Bullock,4,-3.5,9.7
1013,AL,Butler,5.3,-0.2,9.4
1015,AL,Calhoun,4.1,1.9,8.2
1017,AL,Chambers,3.7,1.9,9
1019,AL,Cherokee,2.5,4,10.1
1021,AL,Chilton,2.9,2.2,8.8
1023,AL,Choctaw,4.4,0.9,10.3
1025,AL,Clarke,6,2.1,9.8
1027,AL,Clay,2.7,1.1,9.7
1029,AL,Cleburne,2.6,3.3,9.3
1031,AL,Coffee,2.8,1.5,8
1033,AL,Colbert,4,1.7,8.6
1035,AL,Conecuh,4.8,-1.2,10.9
1037,AL,Coosa,3.1,1.3,10
1039,AL,Covington,3,1.8,9.6
1041,AL,Crenshaw,3.3,-0.7,9.1
1043,AL,Cullman,2.4,2.6,8.5
1045,AL,Dale,3.1,2.3,8.4
1047,AL,Dallas,7.4,-1.3,9.8
1049,AL,DeKalb,2.5,2,9.5
1051,AL,Elmore,2.7,2.5,7.1
1053,AL,Escambia,4.1,-1.4,9.7
1055,AL,Etowah,4.1,-0.7,8.7
1057,AL,Fayette,3.1,2.5,10.1
1059,AL,Franklin,2.5,0.7,9
1061,AL,Geneva,2.8,1.6,10.3
1063,AL,Greene,6.9,-1.1,11.9
1065,AL,Hale,5.7,0.4,9.8
1067,AL,Henry,3.2,1.9,9.5
1069,AL,Houston,3.4,2,8.4
1071,AL,Jackson,2.9,2.7,9.6
1073,AL,Jefferson,3.6,2.5,7.1
1075,AL,Lamar,3,0.9,9.8
1077,AL,Lauderdale,3.2,1.8,8.2
1079,AL,Lawrence,2.9,1.6,9.2
1081,AL,Lee,2.8,3.3,6
1083,AL,Limestone,2.5,3.9,7.3
1085,AL,Lowndes,9.2,2.1,10.1
1087,AL,Macon,6,2,8.6
1089,AL,Madison,2.7,4,6.3
1091,AL,Marengo,4.2,0.9,9.4
1093,AL,Marion,2.8,3.2,9.9
1095,AL,Marshall,2.4,2.2,8.5
1097,AL,Mobile,4.7,2.5,8
1099,AL,Monroe,5.6,0,10.2
1101,AL,Montgomery,4.9,2.5,7.3
1103,AL,Morgan,2.6,1.7,8.4
1105,AL,Perry,8.3,-3,11.1
1107,AL,Pickens,4.1,0.9,9.5
1109,AL,Pike,3.2,3.5,6.9
1111,AL,Randolph,2.7,1,9.2
1113,AL,Russell,3.1,0.5,7.7
1115,AL,St. Clair,2.6,2.4,7.7
1117,AL,Shelby,2.1,2.5,6.3
1119,AL,Sumter,4.5,-2.1,9.1
1121,AL,Talladega,4.1,1.8,8.8
1123,AL,Tallapoosa,4,2.2,9.8
1125,AL,Tuscaloosa,3.6,1.3,6.3
1127,AL,Walker,3.6,2.5,9.4
1129,AL,Washington,4.7,0.2,9.6
1131,AL,Wilcox,11,-3.9,10.4
1133,AL,Winston,2.8,1,10.5
2013,AK,Aleutians East,2.3,3.6,5.9
2016,AK,Aleutians West,3.6,-4.4,4.6
2020,AK,Anchorage,5.8,4.3,4.9
