cnty_fips,display_name,percent_coronary_heart_disease
2013,"Aleutians East, (AK)",5.9
2016,"Aleutians West, (AK)",4.6
2020,"Anchorage, (AK)",4.9
2050,"Bethel, (AK)",8.1
2060,"Bristol Bay, (AK)",7.5
2068,"Denali, (AK)",5.7
2070,"Dillingham, (AK)",7.7
2090,"Fairbanks North Star, (AK)",4.7
2100,"Haines, (AK)",8.2
2105,"Hoonah-Angoon, (AK)",9.7
2110,"Juneau, (AK)",5.5
2122,"Kenai Peninsula, (AK)",7.4
2130,"Ketchikan Gateway, (AK)",6.5
2150,"Kodiak Island, (AK)",5.1
2164,"Lake and Peninsula, (AK)",7.7
2170,"Matanuska-Susitna, (AK)",5.9
2180,"Nome, (AK)",7.4
2185,"North Slope, (AK)",6.1
2188,"Northwest Arctic, (AK)",7.7
2195,"Petersburg, (AK)",7.1
2198,"Prince of Wales-Hyder, (AK)",9.3
2220,"Sitka, (AK)",6.2
2230,"Skagway, (AK)",5.7
2240,"Southeast Fairbanks, (AK)",6.9
2261,"Valdez-Cordova, (AK)",-1
2158,"Kusilvak, (AK)",9.1
2275,"Wrangell, (AK)",9.2
2282,"Yakutat, (AK)",8.6
2290,"Yukon-Koyukuk, (AK)",9.8
6001,"Alameda, (CA)",4.8
6005,"Amador, (CA)",8.6
6007,"Butte, (CA)",7
6009,"Calaveras, (CA)",9.2
6011,"Colusa, (CA)",7
6013,"Contra Costa, (CA)",5.5
6015,"Del Norte, (CA)",8.2
6017,"El Dorado, (CA)",7.2
6021,"Glenn, (CA)",7.6
6023,"Humboldt, (CA)",7.4
6031,"Kings, (CA)",5.8
6033,"Lake, (CA)",9.2
6035,"Lassen, (CA)",6.9
6041,"Marin, (CA)",6.4
6043,"Mariposa, (CA)",9.3
6045,"Mendocino, (CA)",8.6
6047,"Merced, (CA)",6.3
6049,"Modoc, (CA)",10.1
6053,"Monterey, (CA)",6.3
6055,"Napa, (CA)",6.5
6057,"Nevada, (CA)",8.1
6061,"Placer, (CA)",6.2
6063,"Plumas, (CA)",9.1
6067,"Sacramento, (CA)",5.8
6069,"San Benito, (CA)",5.7
6075,"San Francisco, (CA)",4.6
6077,"San Joaquin, (CA)",6
6079,"San Luis Obispo, (CA)",6.5
6081,"San Mateo, (CA)",4.9
6083,"Santa Barbara, (CA)",6.1
6085,"Santa Clara, (CA)",4.4
6087,"Santa Cruz, (CA)",6
6089,"Shasta, (CA)",7.9
