FIPS,State,County,UnempRate2021,PctEmpChange2021,UnempRate2020,PctEmpChange1920,UnempRate2019,UnempRate2018
0,US,United States,5.4,3.3,8.1,-6.1,3.7,3.9
1000,AL,Alabama,3.4,2.3,6.5,-3.6,3.2,3.9
1001,AL,Autauga,2.8,2.5,5.4,-3.6,2.9,3.6
1003,AL,Baldwin,3,4,6.2,-3.4,2.9,3.6
1005,AL,Barbour,5.7,-3.4,7.8,-3.5,4,5.1
1007,AL,Bibb,3.5,2.3,7.3,-4.9,3.2,4
1009,AL,Blount,2.4,2.3,4.6,-3.6,2.8,3.5
1011,AL,Bullock,4,-3.5,6,-1.9,3.9,4.6
1013,AL,Butler,5.3,-0.2,9.6,-6.8,3.9,4.7
1015,AL,Calhoun,4.1,1.9,7.8,-3.8,3.7,4.6
1017,AL,Chambers,3.7,1.9,7.5,-4,3.1,3.9
1019,AL,Cherokee,2.5,4,5.1,-4.1,3,3.5
1021,AL,Chilton,2.9,2.2,5.5,-3.7,2.9,3.6
1023,AL,Choctaw,4.4,0.9,7.4,-3.1,4.9,5.4
1025,AL,Clarke,6,2.1,9.9,-1.9,6,7.4
1027,AL,Clay,2.7,1.1,4.5,-1.7,3.1,3.8
1029,AL,Cleburne,2.6,3.3,5.1,-2,3.3,4.2
1031,AL,Coffee,2.8,1.5,4.9,-2.2,3,3.9
1033,AL,Colbert,4,1.7,7.3,-4.2,3.9,4.6
1035,AL,Conecuh,4.8,-1.2,8,-3.8,4.2,5.2
1037,AL,Coosa,3.1,1.3,6.1,-6.2,3.1,4.1
1039,AL,Covington,3,1.8,5.5,-4.7,3.6,4.5
1041,AL,Crenshaw,3.3,-0.7,6.3,-5.8,3,4
1043,AL,Cullman,2.4,2.6,4.8,-2.8,2.7,3.3
1045,AL,Dale,3.1,2.3,5.4,-2.2,3.3,4.2
1047,AL,Dallas,7.4,-1.3,11.8,-6.8,5.7,6.4
1049,AL,DeKalb,2.5,2,5,-3.2,2.9,3.8
1051,AL,Elmore,2.7,2.5,5.3,-3,2.7,3.4
1053,AL,Escambia,4.1,-1.4,6.8,-4.8,3.7,4.5
1055,AL,Etowah,4.1,-0.7,8.5,-8.9,3.5,4.1
1057,AL,Fayette,3.1,2.5,5.6,-2.7,3.3,4
1059,AL,Franklin,2.5,0.7,5,-3.8,2.9,3.7
1061,AL,Geneva,2.8,1.6,4.6,-2.2,3.1,3.9
1063,AL,Greene,6.9,-1.1,11.8,-1.3,5.9,6.6
1065,AL,Hale,5.7,0.4,10.3,-6.5,4.1,5
1067,AL,Henry,3.2,1.9,5.4,-2.8,3.8,4.4
1069,AL,Houston,3.4,2,6,-2.5,3.2,4
1071,AL,Jackson,2.9,2.7,5.9,-5,3.5,4.1
1073,AL,Jefferson,3.6,2.5,6.9,-4.3,3,3.7
1075,AL,Lamar,3,0.9,5.4,-4,3.2,3.8
1077,AL,Lauderdale,3.2,1.8,6.2,-3.8,3.5,4.2
1079,AL,Lawrence,2.9,1.6,5.5,-1.7,3.3,4.1
1081,AL,Lee,2.8,3.3,5.8,-4.3,2.9,3.6
1083,AL,Limestone,2.5,3.9,4.7,0.1,2.8,3.5
1085,AL,Lowndes,9.2,2.1,14.5,-4.8,6,7.3
1087,AL,Macon,6,2,10.5,-3.9,4.4,5.4
1089,AL,Madison,2.7,4,5.1,-1.5,2.7,3.4
1091,AL,Marengo,4.2,0.9,6.9,-2.6,3.7,4.9
1093,AL,Marion,2.8,3.2,5.6,0.6,3.7,4
1095,AL,Marshall,2.4,2.2,4.7,-2,2.6,3.4
1097,AL,Mobile,4.7,2.5,8.7,-3.3,3.9,4.6
1099,AL,Monroe,5.6,0,9,-1.7,5.1,6.1
1101,AL,Montgomery,4.9,2.5,8.6,-5,3.2,4
1103,AL,Morgan,2.6,1.7,5,-1.4,2.7,3.5
1105,AL,Perry,8.3,-3,12,-6.5,5.5,6.5
1107,AL,Pickens,4.1,0.9,7.3,-7.8,3.7,4.6
1109,AL,Pike,3.2,3.5,5.5,-0.4,3.4,4.5
1111,AL,Randolph,2.7,1,5.3,-2.9,3.2,4
1113,AL,Russell,3.1,0.5,5.8,-3.8,3.1,4
1115,AL,St. Clair,2.6,2.4,5.4,-2.5,2.8,3.5
1117,AL,Shelby,2.1,2.5,4.2,-2.2,2.3,2.8
1119,AL,Sumter,4.5,-2.1,7.7,-4.2,4.8,5.8
1121,AL,Talladega,4.1,1.8,7.8,-3.7,3.6,4.2
1123,AL,Tallapoosa,4,2.2,7.6,-7.3,3.2,4.1
1125,AL,Tuscaloosa,3.6,1.3,7.3,-7.1,2.8,3.6
1127,AL,Walker,3.6,2.5,6.5,-4.3,3.5,4.2
1129,AL,Washington,4.7,0.2,8.9,-3.9,4.9,5.8
1131,AL,Wilcox,11,-3.9,16.2,-3.8,7.5,9.4
1133,AL,Winston,2.8,1,5.2,-1.9,3.5,4.2
2000,AK,Alaska,6.4,4.4,8.2,-4.6,5.5,6
2010,AK,Aleutian Islands,,,,,,
2013,AK,Aleutians East,2.3,3.6,4.1,-3.3,2.3,2.8
2016,AK,Aleutians West,3.6,-4.4,4.7,3.5,3.1,3.2
2020,AK,Anchorage,5.8,4.3,7.8,-4.4,4.5,5
2050,AK,Bethel,13.1,-1.5,12.2,-2,11.7,11.8
2060,AK,Bristol Bay,5.6,17.1,7.9,-14.8,5.3,5.6
2063,AK,Chugach,6.7,7.1,8.6,,,
2066,AK,Copper River,8.9,7.1,10.6,,,
2068,AK,Denali,10.1,44,17.2,-47.5,7.5,7.2
2070,AK,Dillingham,8.2,-0.1,8.8,-14.7,7.2,7.4
2090,AK,Fairbanks North Star,5,3.5,6.7,-3.7,4.8,5.2
2100,AK,Haines,11.3,6.3,16.4,-17.8,8.1,8.8
2105,AK,Hoonah-Angoon,9.3,15.5,13.9,-15.1,10.2,11.5
2110,AK,Juneau ,4.7,5.1,7,-8.4,4,4
2122,AK,Kenai Peninsula,7.3,7.5,9.5,-3.1,6.1,7
